"","ens_id","CHLA10_si16_1","CHLA10_si16_2","CHLA10_si16_3","CHLA10_si30_1","CHLA10_si30_2","CHLA10_si30_3","CHLA10_siNeg16_1","CHLA10_siNeg16_2","CHLA10_siNeg16_3","CHLA10_siNeg30_1","CHLA10_siNeg30_2","CHLA10_siNeg30_3","CHLA9_si16_1","CHLA9_si16_2","CHLA9_si16_3","CHLA9_si30_1","CHLA9_si30_2","CHLA9_si30_3","CHLA9_siNeg16_1","CHLA9_siNeg16_2","CHLA9_siNeg16_3","CHLA9_siNeg30_1","CHLA9_siNeg30_2","CHLA9_siNeg30_3","TC252_si16_1","TC252_si16_2","TC252_si16_3","TC252_si30_1","TC252_si30_2","TC252_si30_3","TC252_siNeg16_1","TC252_siNeg16_2","TC252_siNeg16_3","TC252_siNeg30_1","TC252_siNeg30_2","TC252_siNeg30_3","TC32_si16_1","TC32_si16_2","TC32_si16_3","TC32_si30_1","TC32_si30_2","TC32_si30_3","TC32_siNeg16_1","TC32_siNeg16_2","TC32_siNeg16_3","TC32_siNeg30_1","TC32_siNeg30_2","TC32_siNeg30_3","TC71_si16_1","TC71_si16_2","TC71_si16_3","TC71_si30_1","TC71_si30_2","TC71_si30_3","TC71_siNeg16_1","TC71_siNeg16_2","TC71_siNeg16_3","TC71_siNeg30_1","TC71_siNeg30_2","TC71_siNeg30_3"
"1","ENSG00000049618",2930.378741,2555.63849,2999.395177,2998.97362,4562.309973,4385.821447,3485.821059,2812.834541,2304.607811,3541.44803,2774.789241,4263.801329,6091.23835,5613.780063,6635.000232,5955.901781,5918.251244,7644.00646,6786.068228,5537.009597,5405.02425,6471.526611,8074.94301,6626.367446,4053.801562,6761.451962,6180.110421,7592.063432,5645.206196,5104.869548,5288.668193,5635.330396,7436.92218,5670.657101,5755.790155,5788.04905,3450.05536,3689.616818,2933.844546,2978.222785,3394.496704,3198.373337,3223.131401,2836.473517,4502.154341,3799.312364,3358.217531,5102.805314,2759.179521,2283.358151,3735.92085,3757.412951,4756.064133,4833.89397,2646.33541,3418.860716,3872.08294,2570.556001,3278.39103,4069.02353
"2","ENSG00000066117",4758.004897,4165.00408,5234.997115,4167.00027,6220.009079,6567.00268,5224.999869,4388.996498,3519.001952,4968.005434,3508.994216,5141.005422,5709.004912,5585.008483,6671.000327,6112.997226,6254.001842,7735.994649,6655.993793,5648.004062,5653.994742,6339.003636,6667.999964,6485.003891,4362.00296,7078.994909,6646.003976,10137.00354,7885.007055,6658.008445,6080.999913,5945.004944,8538.996952,6485.007855,7127.002928,7051.003198,4545.000658,4637.997245,3361.994302,4947.002857,5595.99958,5159.00061,5467.007179,4668.002778,7621.002805,7510.993217,6200.9964,9481.003146,4445.001171,3973.007505,5289.997441,4388.996694,5202.002099,4968.991096,4328.990725,5363.001315,6016.003118,4504.004802,5476.997023,6428.9967
"3","ENSG00000073584",6241.308212,5236.385648,7256.835444,5379.363415,6992.541262,7478.230791,6218.829888,5366.956097,3960.55318,5507.616572,3972.783755,5814.272979,12326.02772,11844.36566,14012.55605,11033.53849,11051.60614,13828.04792,12365.90551,10474.02118,11029.56555,11281.94312,13648.18283,11899.81207,10174.64843,15080.62782,14764.46706,20081.90805,16097.55725,13041.87995,11738.42145,11344.66792,16140.62712,11854.01604,13190.30982,12755.59159,10764.58781,10992.65609,8314.929184,9336.471311,10677.34945,10038.03956,8451.961567,7483.398818,11901.22829,11573.08791,9879.234392,14523.08659,3291.501346,3104.391593,4677.819956,4270.36489,5346.796499,4592.210891,3345.396958,4041.36523,4271.528165,3355.892514,3735.048901,4326.764787
"4","ENSG00000080503",3894.124705,3387.00246,4116.001237,3202.000891,4676.000665,4874.000517,3942.996133,3295.005151,2567.000972,3897.994813,2973.003122,4265.394302,2961.997134,2793.221881,3457.995013,2952.003613,2911.12809,3526.042966,2751.003215,2451.983691,2471.000215,2723.999024,3606.308433,2839.037867,319.9994763,431.0003,435.9998964,710.022371,536.9998484,489.0001,262.9998609,293.0163628,362.9839952,273.9998637,301.008306,258.010323,3813.09557,3790.001491,3175.002463,4050.437459,4654.079816,4409.994666,3111.405507,2684.16135,4455.070711,4533.187113,3892.364131,6140.747783,480.999699,442.0004184,767.073414,720.0147461,846.036183,800.999067,393.000095,522.999656,560.0122017,364.9999694,420.0002167,567.000226
"5","ENSG00000082014",1934.999294,1725.000785,2061.001226,1534.000852,2302.00145,2619.000289,2405.001002,1927.999206,1535.000046,2148.000631,1468.99994,2035.998603,1442.999606,1478.999135,1751.001061,1339.999774,1423.000431,1547.001353,1767.000513,1680.000232,1516.000326,1304.000412,1599.998782,1449.999968,1272.000579,2031.998785,1891.000432,2666.996493,1863.000344,1768.999057,1882.000174,1734.999714,2518.995642,1949.000549,2170.999925,2157.003139,1342.00029,1405.999863,901.0000127,1026.999806,1115.999502,1003.999584,1172.998722,892.9997251,1588.000092,1433.000159,1184.999884,1714.999798,478.0002312,410.0000669,670.0000695,593.9999073,681.9994541,763.0009052,372.9998041,482.0002228,591.0002411,351.9997544,430.0002661,522.000432
"6","ENSG00000099956",4832.00881,4266.00349,5390.0029,4394.00458,6708.0062,6560.00381,5358.001,4358.00085,3544.00413,4852.99626,3553.99836,5108.00135,5498.99879,5212.00761,6409.00209,5089.00177,5020.00411,6305.00053,5555.00401,4631.00578,4832.0022,5368.9979,5741.9964,5399.00047,3395.0006,5454.99775,5226.00702,7682.99978,5752.00162,4893.00793,4407.00341,4491.9943,6289.0056,4552.00417,4923.99584,4906.99828,4779.00493,4622.99647,3660.00427,4157.99239,4834.9989,4515.99931,4224.00291,3533.0003,5719.00295,5567.00354,4702.99706,6644.00547,3150.00017,2773.99935,4321.99796,3412.99777,3974.00179,3969.00641,2963.99593,3688.003645,4016.00012,2837.999102,3323.99741,4019.004171
"7","ENSG00000108604",1611.001336,1503.99775,1771.998602,1677.997099,2600.999071,2439.00178,2166.99878,1845.997822,1469.003855,2276.002678,1547.999711,2246.999237,2017.994747,2005.000443,2430.000534,2336.00208,2535.995281,2836.000603,3059.001549,2452.00026,2500.995819,2453.004133,3291.000279,2488.996173,2114.996853,3195.000656,3068.998955,4728.000534,3644.997901,3097.003686,3617.003434,3588.997515,4795.001462,3340.9971,3678.996999,3743.998244,3565.999942,3449.005086,2554.00371,3846.999746,4298.996571,3924.002604,3886.002953,3437.001535,5497.99784,5121.004593,4276.99724,6484.99649,2715.003918,2359.002085,2919.00326,2370.994988,2761.995747,2822.998551,3156.003086,3746.001971,4171.00196,3331.999891,4018.999855,4805.996007
"8","ENSG00000117713",9973.70959,8240.367997,11509.26313,8474.95641,13296.26384,13831.53292,10895.21171,8665.39642,7270.40604,9805.65223,7050.819787,11147.82506,15885.31661,14876.63391,18801.69983,14681.13197,14231.79065,17892.93835,16441.06976,13841.92265,13875.82101,15707.21829,17444.20407,14998.4933,9946.710273,15221.17021,14296.47449,21350.32023,16897.22886,13213.8493,11886.49456,12305.29458,17291.63367,12725.69096,14155.72493,14315.47758,11912.10844,12275.91877,8856.29647,10808.62975,13015.32045,11268.74043,11870.18376,10271.67484,16522.84049,15365.8807,13009.67734,21792.90498,6136.726265,5532.175974,10734.52437,7639.255493,9611.050211,8686.23706,5540.208085,6652.602018,8191.443045,6071.21875,7100.437672,7993.001262
"9","ENSG00000127616",29346.33836,24987.69757,34429.7261,24657.2095,39116.87433,38208.39318,31195.28539,24955.9788,20083.2735,30393.416,20606.80972,31202.30223,29858.35517,28210.80715,34917.35271,26708.2743,27086.32054,33654.06813,28826.9487,24794.55765,25541.93122,28332.71373,28359.81083,27803.48624,19502.27836,30012.9476,28598.51419,39629.99167,30735.31081,24809.08979,23970.9932,23954.50405,34419.57754,25110.32517,26887.64741,27456.19866,28007.22648,27697.27586,20782.83755,22406.90516,25916.69383,23822.50864,23823.7791,19830.25625,31558.77046,29542.69099,24657.19632,38638.7452,10776.69889,9793.88464,14229.90962,12246.1636,14935.22458,14613.08067,10163.26649,12349.61824,14422.80628,11204.38715,12699.97533,15426.77609
"10","ENSG00000136518",2572.297388,2206.089949,2598.897685,2044.039753,2709.879887,2941.446033,2711.417981,2402.003983,1706.016841,2656.578148,1923.000651,2766.021568,4085.205453,3802.398898,4732.255862,4048.556615,4320.10632,5064.586603,4222.38158,3600.997167,3644.284495,4858.281166,4682.936789,5403.437325,3843.543813,5796.672119,5685.599204,7920.002489,6030.300404,5244.165651,5546.727323,5571.759662,7520.62575,6178.087873,6581.93468,6510.427032,2952.463789,2966.495514,2166.086545,2939.110583,3127.595545,2944.269893,3034.464969,2661.982541,4401.873514,4598.906517,3926.823522,5529.340135,5112.374521,4920.40452,6953.443011,4366.859171,5266.993205,4582.802807,5388.201877,6487.046566,6647.501155,5140.960269,6185.083591,7567.741229
"11","ENSG00000139613",4775.032434,3788.537746,5705.54092,4082.717181,5913.757123,6420.31903,5199.396124,4395.163448,3403.086392,5362.909758,3630.957611,5679.32298,6109.316126,5850.502893,7414.154212,6587.458343,6492.09542,8182.668371,8006.15824,6590.556412,6910.146142,6862.10628,10179.48527,7056.846519,4064.106844,6205.642435,6054.2598,9221.198761,7146.084817,5900.691671,6673.703179,6420.952401,9550.078066,6400.059517,6934.462141,6824.840483,5876.658586,6054.064979,4566.850354,6062.121328,6943.730008,6069.692632,6937.982969,6005.934631,9866.472165,8507.467367,7346.139436,11257.54321,3008.317811,2696.664501,3427.272465,3830.32331,4813.930771,4527.275694,3326.64161,4107.537407,4419.755926,3931.119478,4397.238049,5149.341902
"12","ENSG00000173473",14192.15305,12246.0328,14920.00152,13523.02298,19788.02539,20750.90872,15804.47132,13486.11096,10118.38536,14554.97546,10741.0108,15789.04872,45671.08451,42685.04947,52534.242,48308.01377,48516.04802,58666.14514,53070.07884,44799.63408,45998.38404,50349.00865,61448.2738,52693.28693,22515.79176,33969.11988,32808.08205,48387.78014,37677.0403,30935.07033,30029.03036,30179.89525,40731.04345,32899.18339,36016.99884,35285.67614,20451.7826,20927.64368,15006.48592,17926.01819,20297.69441,18589.97982,19409.75591,16387.16245,26638.18055,24837.36297,20705.19688,32146.61656,14668.638,13249.1071,16749.05171,14996.53359,18763.82121,16746.07676,15042.02212,18704.99719,19638.99571,13564.96551,16841.1466,20340.1484
